Repeticion,bbox,classifier,pixelator,engine,api
1,0.19645404815673828,0.16686177253723145,0.01769232749938965,0.4533662796020508,0.010132074356079102
2,0.17656421661376953,0.05540966987609863,0.0070574283599853516,0.4259300231933594,0.008513450622558594
3,0.18167591094970703,0.057451486587524414,0.006920576095581055,0.4562501907348633,0.00852656364440918
4,0.16034770011901855,0.05445051193237305,0.007892847061157227,0.4250631332397461,0.01034235954284668
5,0.15512704849243164,0.05714225769042969,0.007601022720336914,0.39870452880859375,0.008417367935180664
6,0.1479933261871338,0.05402016639709473,0.0073359012603759766,0.4363741874694824,0.007990121841430664
7,0.15230560302734375,0.05365586280822754,0.005990028381347656,0.4002084732055664,0.008417367935180664
8,0.14870285987854004,0.055776119232177734,0.007876157760620117,0.3931570053100586,0.008805513381958008
9,0.14365005493164062,0.053559064865112305,0.006935834884643555,0.3967876434326172,0.009444952011108398
10,0.14940977096557617,0.05948352813720703,0.006965160369873047,0.38477063179016113,0.009036779403686523
